BackUpBlock,BackUpBlockErrors,EndSessionOnHitCriterion,HitCriterion,ID,MaxBlockRepetition,MaxBlockRepetitionInSession,NextBlockOnHitCriterion,Reinforcement
0,0,0,0,1,0,0,0,100
1,2,0,0,2,0,0,0,100
2,2,0,0,3,0,0,0,100
3,2,0,0,4,0,0,0,100
4,2,0,0,5,0,0,0,100
5,2,0,0,6,0,0,0,100
0,0,0,0,7,0,0,0,0
0,0,0,0,8,0,0,0,100
8,2,0,0,9,0,0,0,100
9,2,0,0,10,0,0,0,100
0,0,0,0,11,0,0,0,100
11,2,0,0,12,0,0,0,100
12,2,0,0,13,0,0,0,100
13,2,0,0,14,0,0,0,100
0,0,0,0,15,0,0,0,100
15,2,0,0,16,0,0,0,100
16,2,0,0,17,0,0,0,100
17,2,0,0,18,0,0,0,100
0,0,0,0,19,0,0,0,100
19,2,0,0,20,0,0,0,100
20,2,0,0,21,0,0,0,100
22,1,0,100,22,3,0,23,100
0,0,0,0,23,0,0,0,100
23,2,0,0,24,0,0,0,100
24,2,0,0,25,0,0,0,100
25,1,0,0,26,0,0,0,100
0,0,0,0,27,0,0,0,100
27,2,0,0,28,0,0,0,100
28,2,0,0,29,0,0,0,100
29,2,0,0,30,0,0,0,100
30,1,0,0,31,0,0,0,100
32,1,0,100,32,3,0,33,100
32,1,0,100,33,0,3,34,100
34,1,0,100,34,3,0,35,33
34,1,0,100,35,0,3,36,33
36,0,0,100,36,3,0,37,0
37,0,0,100,37,3,0,38,0
38,0,0,100,38,3,0,39,0
39,0,0,100,39,3,0,40,0
0,0,0,0,40,0,0,0,0
0,0,0,0,41,0,0,0,100
41,2,0,0,42,0,0,0,100
42,2,0,0,43,0,0,0,100
0,0,0,0,44,0,0,0,100
44,2,0,0,45,0,0,0,100
45,2,0,0,46,0,0,0,100
46,2,0,0,47,0,0,0,100
0,0,0,0,48,0,0,0,100
48,2,0,0,49,0,0,0,100
49,2,0,0,50,0,0,0,100
50,2,0,0,51,0,0,0,100
0,0,0,0,52,0,0,0,100
52,2,0,0,53,0,0,0,100
53,2,0,0,54,0,0,0,100
55,1,0,100,55,3,0,56,100
0,0,0,0,56,0,0,0,100
56,2,0,0,57,0,0,0,100
57,2,0,0,58,0,0,0,100
58,1,0,0,59,0,0,0,100
0,0,0,0,60,0,0,0,100
60,2,0,0,61,0,0,0,100
61,2,0,0,62,0,0,0,100
62,2,0,0,63,0,0,0,100
63,1,0,0,64,0,0,0,100
65,1,0,100,65,3,0,66,100
65,1,0,100,66,0,3,67,100
67,1,0,100,67,3,0,68,33
67,1,0,100,68,0,3,69,33
69,0,0,100,69,3,0,70,0
70,0,0,100,70,3,0,71,0
71,0,0,100,71,3,0,72,0
72,0,0,100,72,3,0,73,0
0,0,0,0,73,0,0,0,0
0,0,0,0,74,0,0,0,100
74,2,0,0,75,0,0,0,100
75,2,0,0,76,0,0,0,100
0,0,0,0,77,0,0,0,100
77,2,0,0,78,0,0,0,100
78,2,0,0,79,0,0,0,100
79,2,0,0,80,0,0,0,100
0,0,0,0,81,0,0,0,100
81,2,0,0,82,0,0,0,100
82,2,0,0,83,0,0,0,100
83,2,0,0,84,0,0,0,100
0,0,0,0,85,0,0,0,100
85,2,0,0,86,0,0,0,100
86,2,0,0,87,0,0,0,100
88,1,0,100,88,3,0,89,100
0,0,0,0,89,0,0,0,100
89,2,0,0,90,0,0,0,100
90,2,0,0,91,0,0,0,100
91,1,0,0,92,0,0,0,100
0,0,0,0,93,0,0,0,100
93,2,0,0,94,0,0,0,100
94,2,0,0,95,0,0,0,100
95,2,0,0,96,0,0,0,100
96,1,0,0,97,0,0,0,100
98,1,0,100,98,3,0,99,100
98,1,0,100,99,0,3,100,100
100,1,0,100,100,3,0,101,33
100,1,0,100,101,0,3,102,33
102,0,0,100,102,3,0,103,0
103,0,0,100,103,3,0,104,0
104,0,0,100,104,3,0,105,0
105,0,0,100,105,3,0,106,0
0,0,0,0,106,0,0,0,0
0,0,0,0,107,0,0,0,100
107,2,0,0,108,0,0,0,100
108,2,0,0,109,0,0,0,100
0,0,0,0,110,0,0,0,100
110,2,0,0,111,0,0,0,100
111,2,0,0,112,0,0,0,100
112,2,0,0,113,0,0,0,100
0,0,0,0,114,0,0,0,100
114,2,0,0,115,0,0,0,100
115,2,0,0,116,0,0,0,100
116,2,0,0,117,0,0,0,100
0,0,0,0,118,0,0,0,100
118,2,0,0,119,0,0,0,100
119,2,0,0,120,0,0,0,100
121,1,0,100,121,3,0,122,100
0,0,0,0,122,0,0,0,100
122,2,0,0,123,0,0,0,100
123,2,0,0,124,0,0,0,100
124,1,0,0,125,0,0,0,100
0,0,0,0,126,0,0,0,100
126,2,0,0,127,0,0,0,100
127,2,0,0,128,0,0,0,100
128,2,0,0,129,0,0,0,100
129,1,0,0,130,0,0,0,100
131,1,0,100,131,3,0,132,100
131,1,0,100,132,0,3,133,100
133,1,0,100,133,3,0,134,33
133,1,0,100,134,0,3,135,33
135,0,0,100,135,3,0,136,0
136,0,0,100,136,3,0,137,0
137,0,0,100,137,3,0,138,0
138,0,0,100,138,3,0,139,0
0,0,0,0,139,0,0,0,0
0,0,0,0,140,0,0,0,100
140,2,0,0,141,0,0,0,100
141,2,0,0,142,0,0,0,100
0,0,0,0,143,0,0,0,100
143,2,0,0,144,0,0,0,100
144,2,0,0,145,0,0,0,100
145,2,0,0,146,0,0,0,100
0,0,0,0,147,0,0,0,100
147,2,0,0,148,0,0,0,100
148,2,0,0,149,0,0,0,100
149,2,0,0,150,0,0,0,100
0,0,0,0,151,0,0,0,100
151,2,0,0,152,0,0,0,100
152,2,0,0,153,0,0,0,100
154,1,0,100,154,3,0,155,100
0,0,0,0,155,0,0,0,100
155,2,0,0,156,0,0,0,100
156,2,0,0,157,0,0,0,100
157,1,0,0,158,0,0,0,100
0,0,0,0,159,0,0,0,100
159,2,0,0,160,0,0,0,100
160,2,0,0,161,0,0,0,100
161,2,0,0,162,0,0,0,100
162,1,0,0,163,0,0,0,100
164,1,0,100,164,3,0,165,100
164,1,0,100,165,0,3,166,100
166,1,0,100,166,3,0,167,33
166,1,0,100,167,0,3,168,33
168,0,0,100,168,3,0,169,0
169,0,0,100,169,3,0,170,0
170,0,0,100,170,3,0,171,0
171,0,0,100,171,3,0,172,0
0,0,0,0,172,0,0,0,0
0,0,0,0,173,0,0,0,100
173,2,0,0,174,0,0,0,100
174,2,0,0,175,0,0,0,100
0,0,0,0,176,0,0,0,100
176,2,0,0,177,0,0,0,100
177,2,0,0,178,0,0,0,100
178,2,0,0,179,0,0,0,100
0,0,0,0,180,0,0,0,100
180,2,0,0,181,0,0,0,100
181,2,0,0,182,0,0,0,100
182,2,0,0,183,0,0,0,100
0,0,0,0,184,0,0,0,100
184,2,0,0,185,0,0,0,100
185,2,0,0,186,0,0,0,100
187,1,0,100,187,3,0,188,100
0,0,0,0,188,0,0,0,100
188,2,0,0,189,0,0,0,100
189,2,0,0,190,0,0,0,100
190,1,0,0,191,0,0,0,100
0,0,0,0,192,0,0,0,100
192,2,0,0,193,0,0,0,100
193,2,0,0,194,0,0,0,100
194,2,0,0,195,0,0,0,100
195,1,0,0,196,0,0,0,100
197,1,0,100,197,3,0,198,100
197,1,0,100,198,0,3,199,100
199,1,0,100,199,3,0,200,33
199,1,0,100,200,0,3,201,33
201,0,0,100,201,3,0,202,0
202,0,0,100,202,3,0,203,0
203,0,0,100,203,3,0,204,0
204,0,0,100,204,3,0,205,0
0,0,0,0,205,0,0,0,0
